Year,Month,Day,Hour,Evap_mm_hr
1998,1,8,2,0.087960563
1998,1,8,3,0.084671749
1998,1,8,4,0.082754267
1998,1,8,5,0.079931844
1998,1,8,6,0.073814229
1998,1,8,7,0.074279942
1998,1,8,8,0.10529006660380347
1998,1,8,9,0.27693595683664785
1998,1,8,10,0.44857564679915357
1998,1,8,11,0.5786932089781182
1998,1,8,12,0.6446445156684283
1998,1,8,13,0.644758509
1998,1,8,14,0.5759060160974698
1998,1,8,15,0.43982862413183393
1998,1,8,16,0.2364891624800801
1998,1,8,17,0.051456357
1998,1,8,18,0.059669582
1998,1,8,19,0.059208900346853804
1998,1,8,20,0.058918359
1998,1,8,21,0.059947113
1998,1,8,22,0.05974441
1998,1,8,23,0.059540481
1998,1,9,0,0.058029992605904246
1998,1,9,1,0.057627346
1998,1,9,2,0.055737432
1998,1,9,3,0.053871293
1998,1,9,4,0.053373241
1998,1,9,5,0.051636731
1998,1,9,6,0.051140274
1998,1,9,7,0.052235382
1998,1,9,8,0.084038498
1998,1,9,9,0.25785698361365095
1998,1,9,10,0.4273666522883962
1998,1,9,11,0.5608834955596302
1998,1,9,12,0.6289475804187847
1998,1,9,13,0.6330163851332317
1998,1,9,14,0.5682574044021879
1998,1,9,15,0.42992508200999624
1998,1,9,16,0.23364460805722814
1998,1,9,17,0.04853947
1998,1,9,18,0.055341123
1998,1,9,19,0.055899244
1998,1,9,20,0.055045259
1998,1,9,21,0.054303526
1998,1,9,22,0.053794600533842316
1998,1,9,23,0.055916398
1998,1,10,0,0.057365963747385146
1998,1,10,1,0.059879062
1998,1,10,2,0.062525969
1998,1,10,3,0.065405142
1998,1,10,4,0.066854651
1998,1,10,5,0.067022954
1998,1,10,6,0.064853491
1998,1,10,7,0.070266624
1998,1,10,8,0.096848566
1998,1,10,9,0.24877726711192005
1998,1,10,10,0.24212098022511094
1998,1,10,11,0.25557418465453907
1998,1,10,12,0.35218497640641827
1998,1,10,13,0.5489888210103065
1998,1,10,14,0.49711424733422677
1998,1,10,15,0.38785378809722737
1998,1,10,16,0.22011539887801523
1998,1,10,17,0.047371046
1998,1,10,18,0.05999015
1998,1,10,19,0.059200298
1998,1,10,20,0.058475052318457406
1998,1,10,21,0.059064615
1998,1,10,22,0.059793956
1998,1,10,23,0.059176575507187246
1998,1,11,0,0.055964545
1998,1,11,1,0.053206864
1998,1,11,2,0.048340782
1998,1,11,3,0.044626831
1998,1,11,4,0.044173728
1998,1,11,5,0.044903687
1998,1,11,6,0.044501345160105885
1998,1,11,7,0.055373908
1998,1,11,8,0.093937397
1998,1,11,9,0.15965394991562587
1998,1,11,10,0.30202542459011406
1998,1,11,11,0.5465056341671176
1998,1,11,12,0.6201625857240428
1998,1,11,13,0.622137434
1998,1,11,14,0.552755774
1998,1,11,15,0.4127113466003234
1998,1,11,16,0.22569448012326473
1998,1,11,17,0.046159728
1998,1,11,18,0.049726400620786544
1998,1,11,19,0.053343579
1998,1,11,20,0.058163822413960356
1998,1,11,21,0.060210005156784235
1998,1,11,22,0.060544206
1998,1,11,23,0.059513494
1998,1,12,0,0.058739148
1998,1,12,1,0.056933318473200684
1998,1,12,2,0.057944971
1998,1,12,3,0.059144873
1998,1,12,4,0.060338866977386205
1998,1,12,5,0.061526949
1998,1,12,6,0.063769228
1998,1,12,7,0.070446604
1998,1,12,8,0.1012675301654198
1998,1,12,9,0.2251503888874739
1998,1,12,10,0.3308983153242753
1998,1,12,11,0.5306013758931817
1998,1,12,12,0.6390446186191814
1998,1,12,13,0.6285099486660002
1998,1,12,14,0.5513872109029341
1998,1,12,15,0.41419838342704973
1998,1,12,16,0.231387524
1998,1,12,17,0.052132757
1998,1,12,18,0.050140165
1998,1,12,19,0.049771064
1998,1,12,20,0.052375374
1998,1,12,21,0.056122128
1998,1,12,22,0.055373164
1998,1,12,23,0.055914989
1998,1,13,0,0.054882725
1998,1,13,1,0.056301294
1998,1,13,2,0.057570242448079734
1998,1,13,3,0.061599165863857004
1998,1,13,4,0.067159881
1998,1,13,5,0.072375835
1998,1,13,6,0.074825719
1998,1,13,7,0.079679406
1998,1,13,8,0.099341582
1998,1,13,9,0.16172219963983403
1998,1,13,10,0.3206643270524059
1998,1,13,11,0.339852878
1998,1,13,12,0.289203524
1998,1,13,13,0.3933602549877949
1998,1,13,14,0.26231405984431727
1998,1,13,15,0.21574476605346068
1998,1,13,16,0.2121064268942319
1998,1,13,17,0.050443811160059096
1998,1,13,18,0.061922121
1998,1,13,19,0.067037256
1998,1,13,20,0.070733403
1998,1,13,21,0.070065593
1998,1,13,22,0.06487899
1998,1,13,23,0.061252299
1998,1,14,0,0.060708102661925514
1998,1,14,1,0.061578460212147045
1998,1,14,2,0.060173785076817914
1998,1,14,3,0.056077967
1998,1,14,4,0.052122694
1998,1,14,5,0.048349985
1998,1,14,6,0.043204145717854095
1998,1,14,7,0.048850785
1998,1,14,8,0.075114714
1998,1,14,9,0.16266476069275182
1998,1,14,10,0.34047994149834254
1998,1,14,11,0.53792544
1998,1,14,12,0.6195200167766045
1998,1,14,13,0.639038432
1998,1,14,14,0.5818679832438296
1998,1,14,15,0.4602231877958357
1998,1,14,16,0.27423219415216127
1998,1,14,17,0.088591831
1998,1,14,18,0.10149245825724108
1998,1,14,19,0.10417413319565753
1998,1,14,20,0.096242557
1998,1,14,21,0.091614941
1998,1,14,22,0.091722245
1998,1,14,23,0.08874787
1998,1,15,0,0.081796938
1998,1,15,1,0.077538054
1998,1,15,2,0.074904673
1998,1,15,3,0.07366337
1998,1,15,4,0.074940946
1998,1,15,5,0.07629765
1998,1,15,6,0.076795944
1998,1,15,7,0.081734576
1998,1,15,8,0.11393034020448879
1998,1,15,9,0.27607815276923503
1998,1,15,10,0.4304160966209845
1998,1,15,11,0.5496590740233883
1998,1,15,12,0.6148417924331815
1998,1,15,13,0.6133148223335045
1998,1,15,14,0.5433544997812063
1998,1,15,15,0.4162764270384075
1998,1,15,16,0.23314071431459563
1998,1,15,17,0.051306915412559634
1998,1,15,18,0.047638991
1998,1,15,19,0.055916388768150575
1998,1,15,20,0.062198139
1998,1,15,21,0.071909572
1998,1,15,22,0.07508857
1998,1,15,23,0.07153862
1998,1,16,0,0.062990105
1998,1,16,1,0.056467962
1998,1,16,2,0.05154833
1998,1,16,3,0.047759774
1998,1,16,4,0.044965248320938296
1998,1,16,5,0.044619773
1998,1,16,6,0.044358316
1998,1,16,7,0.048129008715003925
1998,1,16,8,0.083766929
1998,1,16,9,0.2667675070743344
1998,1,16,10,0.450234099
1998,1,16,11,0.5963096651071526
1998,1,16,12,0.6834478983179515
1998,1,16,13,0.6875261159984924
1998,1,16,14,0.6184822410787609
1998,1,16,15,0.47877193191610207
1998,1,16,16,0.27357475294083455
1998,1,16,17,0.077975467
1998,1,16,18,0.069698059
1998,1,16,19,0.073286588
1998,1,16,20,0.078020162
1998,1,16,21,0.074884845
1998,1,16,22,0.067554305
1998,1,16,23,0.062143086
1998,1,17,0,0.058488084
1998,1,17,1,0.055106329
1998,1,17,2,0.054393527
1998,1,17,3,0.053761846753419246
1998,1,17,4,0.053228849753252504
1998,1,17,5,0.051608502
1998,1,17,6,0.050305560927760756
1998,1,17,7,0.054405555
1998,1,17,8,0.082157741
